Process,Nevents,Seed
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,0
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,1
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,2
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,3
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,4
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,5
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,6
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,7
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,8
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,9
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,10
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,11
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,12
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,13
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,14
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,15
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,16
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,17
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,18
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,19
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,20
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,21
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,22
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,23
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,24
