Process,Nevents,Seed
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,0
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,1
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,2
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,3
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,4
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,5
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,6
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,7
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,8
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,9
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,10
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,11
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,12
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,13
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,14
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,15
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,16
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,17
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,18
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,19
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,20
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,21
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,22
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,23
WJetsToLNu_13TeV-madgraphMLM-pythia8,10000,24
