Process,Nevents,Seed
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,0
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,1
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,2
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,3
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,4
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,5
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,6
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,7
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,8
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,9
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,10
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,11
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,12
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,13
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,14
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,15
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,16
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,17
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,18
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,19
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,20
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,21
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,22
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,23
WJetsToQQ_13TeV-madgraphMLM-pythia8,10000,24
