Process,Nevents,Seed
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,0
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,1
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,2
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,3
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,4
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,5
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,6
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,7
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,8
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,9
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,10
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,11
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,12
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,13
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,14
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,15
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,16
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,17
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,18
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,19
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,20
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,21
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,22
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,23
ZJetsTobb_13TeV-madgraphMLM-pythia8,10000,24
