Process,Nevents,seed_offset
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,25
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,26
DYJetsToLL_13TeV-madgraphMLM-pythia8,10000,27
QCD_HT50toInf,10000,100
QCD_HT50toInf,10000,101
QCD_HT50toInf,10000,102
QCD_HT50toInf,10000,103
QCD_HT50toInf,10000,104
QCD_HT50toInf,10000,105
tt0123j_5f_ckm_LO_MLM_leptonic,10000,25
tt0123j_5f_ckm_LO_MLM_leptonic,10000,26
tt0123j_5f_ckm_LO_MLM_leptonic,10000,27
tt0123j_5f_ckm_LO_MLM_semiLeptonic,10000,25
tt0123j_5f_ckm_LO_MLM_semiLeptonic,10000,26
