Process,Nevents,seed_offset
ggHZZ,100000,0
ttH_incl,100000,0
WJetsToLNu_13TeV-madgraphMLM-pythia8,250000,0
VBFHZZ,100000,0
WZ_semileptonic,30000,0
tt0123j_5f_ckm_LO_MLM_hadronic,250000,0
VVV_incl,20000,0
WW_leptonic,30000,0
ZJetsTovv_13TeV-madgraphMLM-pythia8,250000,0
WZ_hadronic,30000,0
ZZ_semileptonic,30000,0
tt0123j_5f_ckm_LO_MLM_semiLeptonic,250000,0
ZJetsTobb_13TeV-madgraphMLM-pythia8,250000,0
HH_bbgammagamma,20000,0
ggHbb,100000,0
QCD_HT50toInf,1000000,0
QCD_HT50tobb,250000,0
DYJetsToLL_13TeV-madgraphMLM-pythia8,250000,0
ZJetsToQQ_13TeV-madgraphMLM-pythia8,250000,0
WW_hadronic,30000,0
WW_semileptonic,30000,0
HH_4b,20000,0
ZZ_leptonic,30000,0
WJetsToQQ_13TeV-madgraphMLM-pythia8,250000,0
ggHgluglu,100000,0
VBFHcc,100000,0
VBFHgammagamma,100000,0
VBFHWW,100000,0
ggHgammagamma,100000,0
gamma,250000,0
HH_bbZZ,20000,0
ttZ_incl,50000,0
ttW_incl,50000,0
ZZ_hadronic,30000,0
VBFHbb,100000,0
ggHtautau,100000,0
VH_incl,100000,0
ggHWW,100000,0
tt0123j_5f_ckm_LO_MLM_leptonic,250000,0
WZ_leptonic,30000,0
tttt_incl,20000,0
VBFHgluglu,100000,0
gamma_V,100000,0
VBFHtautau,100000,0
HH_bbtautau,20000,0
HH_bbWW,20000,0
ZJetsTocc_13TeV-madgraphMLM-pythia8,250000,0
ggHcc,100000,0
